Package Name,Directory Name,Prefixes,File Numbers,File Names,Globals
,,,9002171.3,CDMIS REPORT LISTER ITEMS,
,,,9002171.8,CDMIS REPORT TEMPORARY DEFINITION,
,,,9002171,CDMIS TRANS-DISC-CLOSE,
,,,9002172.1,CDMIS VISIT,
,,,9002172.7,CDMIS CLIENT SVCS COPY SET,
,,,9002172.8,CDMIS CLIENT CATEGORY,
,,,9002172.9,CDMIS BILL,
,,,9002172,CDMIS CLIENT SVCS,
,,,9002173.4,CDMIS SOURCE OF CASH TABLE,
,,,9002173.5,CDMIS INTERVENTIONS,
,,,9002173.6,CDMIS COMPONENT CHARACTERISTIC TABLE,
,,,9002173.8,CDMIS QUARTERLY-ANNUAL,
,,,9002173,CDMIS PROGRAM,
,,,9002174.1,CDMIS STAFF CLASSIFICATION,
,,,9002174.2,CDMIS JOB DUTIES,
,,,9002174.3,CDMIS TRIBE CATEGORIES,
,,,9002174.4,CDMIS STATE CATEGORIES,
,,,9002174.6,CDMIS AREA CATEGORIES,
,,,9002174.7,CDMIS SERVICE UNIT CATEGORIES,
,,,9002174.8,CDMIS FACILITY CATEGORIES,
,,,9002174.9,CDMIS SERVER DOMAINS,
,,,9002174,CDMIS WORK,
COMMUNITY ALCOHOL SYSTEM,Community Alcohol System,ACE,,,
CONTRACTS AND GRANTS,Contracts and Grants,ACG,9002330.1,CIS TYPE OF PROCUREMENT ACTION,
,,,9002330.3,CIS TYPE OF CONTRACT,
,,,9002330.4,CIS SOLICITATION PROCEDURE,
,,,9002330.5,CIS AUTH FOR OTHER THAN FULL AND OPEN,
,,,9002330.6,CIS EXTENT OF COMPETITION,
,,,9002330.7,CIS METHOD OF CONTRACTING,
,,,9002330.95,CIS PROCUREMENT PURPOSE CODE GROUP,
,,,9002330.9,CIS PROCUREMENT PURPOSE CODE,
,,,9002330,CIS CONTRACTS AND GRANTS,
,,,9002331.2,CIS CHARCTERISTIC CLASS,
,,,9002331.3,CIS SPECIAL INTEREST CLASS,
,,,9002331.4,CIS CONTRACT PERSONNEL,
,,,9002331.5,CIS SORT,
,,,9002333.1,CIS SIC DIVISION,
,,,9002333.2,CIS SIC MAJOR GROUP,
,,,9002333,CIS STANDARD INDUSTRIAL CODE,
,,,9002334,CIS PROCUREMENT OFFICE,
,,,9002335,CIS SITE PARAMETERS,
,,,9002336,CIS CONTRACTS AND GRANTS EXPORT,
COMMUNITY HEALTH NURSING,Community Health Nursing,ACHA,,,
CHS DENIAL/DEFERRED SVCS,CHS Denial Deferred Svcs,ACHD,,,
CHR ACTIVITY REPORTING,CHR Activity Reporting,ACHR,,,
CONTRACT HEALTH,Contract Health Management Information System,ACHS,9002061,CHS COST CENTER,
,,,9002062,CHS COMMON ACCOUNTING NUMBER,
,,,9002063.1,CHS NAICS CODES,
,,,9002063,CHS SERVICE CLASS CODES,
,,,9002064.1,CHS CHEF REGISTRY,
,,,9002064,CHS FISCAL AGENT,
,,,9002065,CHS NON-PROCESSED EOBRS,
,,,9002066.5,CHS DEFERRED SERVICES CATEGORY,
,,,9002066,CHS DEFERRED SERVICE DATA,
,,,9002067,CHS DOCUMENT PRINTED LIST,
,,,9002068.1,CHS CONTRACT ACTION TYPE,
,,,9002068,CHS AO PURCHASE ORDER TRANSACTIONS,
,,,9002069,CHS DATA CONTROL,
,,,9002070,CHS TX STATUS,
,,,9002071,CHS DENIAL DATA,
,,,9002072.1,CHS ALTERNATE RESOURCES,
,,,9002072,CHS DENIAL FACILITY,
,,,9002073.1,CHS MEDICAL PRIORITY,
,,,9002073.2,CHS DENIAL REASON OPTION,
,,,9002073.3,CHS SERVICE DELIVERY AREA,
,,,9002073,CHS DENIAL REASON,
,,,9002074,CHS DENIAL STATUS,
,,,9002075,CHS VENDOR PAYMENTS,
,,,9002076,CHS EOBR MESSAGES,
,,,9002077,CHS AO PROCESSING LOG,
,,,9002078.5,CHS OBJECT CLASS CODES,
,,,9002078,CHS HV NOTIFICATION LOG,
,,,9002079,CHS AREA OFFICE PARAMETERS,
,,,9002080.1,CHS E-SIG AUTHORITY,
,,,9002080,CHS FACILITY,
INJURY REPORTING,Injury Reporting,ACI,9002230,CIC VISIT,
CASE MANAGEMENT SYSTEM,Case Management System,ACM,9002240,CMS PARAMETERS,
,,,9002241.1,CMS REGISTER TYPE,
,,,9002241,CMS REGISTER,
,,,9002242.1,CMS COMPLICATION LIST ENTRY,
,,,9002242.2,CMS COMPLICATION CATEGORY,
,,,9002242.3,CMS COMPLICATIONS STATUS,
,,,9002242,CMS COMPLICATION FOR THE CLIENT,
,,,9002243.1,CMS INTERVENTION LIST ENTRY,
,,,9002243.2,CMS INTERVENTION CATEGORY,
,,,9002243,CMS INTERVENTION PLAN,
,,,9002244.1,CMS DIAGNOSIS LIST ENTRY,
,,,9002244.2,CMS DIAGNOSIS CATEGORY,
,,,9002244.3,CMS DIAGNOSIS INTERVENTION,
,,,9002244,CMS DIAGNOSIS FOR THE CLIENT,
,,,9002245.1,CMS RISK FACTOR LIST ENTRY,
,,,9002245.2,CMS RISK FACTOR CATEGORY,
,,,9002245,CMS RISK FACTOR FOR THE CLIENT,
,,,9002246,CMS FAMILY MEMBERS,
,,,9002247.1,CMS SERVICE LIST ENTRY,
,,,9002247.2,CMS SERVICE CATEGORY,
,,,9002247,CMS SERVICE FOR THE CLIENT,
,,,9002248.1,CMS CARE PLAN CATEGORY,
,,,9002248.5,CMS SORT,
,,,9002248,CMS CARE PLAN FOR THE CLIENT,
,,,9002249,CMS APPOINTMENT,
,,,9002250,CMS RESOURCE,
,,,9002251.1,CMS REGISTER CRITERIA,
,,,9002251.2,CMS DIAGNOSTIC MODIFIERS,
,,,9002251,CMS REGISTER CRITERIA FOR THE CLIENT,
,,,9002253.1,CMS ETIOLOGY LIST ENTRY,
,,,9002253.2,CMS ETIOLOGY CATEGORY,
,,,9002253,CMS ETIOLOGY FOR THIS CLIENT,
,,,9002254.1,CMS MEDICATION LIST,
,,,9002254.2,CMS MEDICATION LIST CATEGORY,
,,,9002254,CMS MEDICATIONS FOR THE CLIENT,
,,,9002255,CMS CASE SUMMARY TYPE,
,,,9002256,CMS CASE SUMMARY COMPONENT,
,,,9002257,CMS MEASUREMENT,
,,,9002258.1,CMS LISTER ITEMS,
,,,9002258.8,CMS LISTER TEMPORARY FILE,
COMMUNICATIONS,Communications,ACO,,,
CPT FILES,CPT Files,ACPT,,,
COMMITMENT REGISTER,Commitment Register,ACR,9002185.1,FMS TERMS AND CONDITIONS,
,,,9002185.2,ARMS ACCOUNT CODES,
,,,9002185.3,ARMS USER,
,,,9002185.4,ARMS OUTSTANDING TRAVEL ADVANCE,
,,,9002185.5,FMS ACCESS LEVEL,
,,,9002185.6,FMS USER ACCESS LEVEL,
,,,9002185,FMS APPROPRIATION,
,,,9002186.5,ARMS CAN,
,,,9002186,FMS ALLOWANCE,
,,,9002187.1,ARMS SMALL PURCHASE CHECKLIST,
,,,9002187,FMS SUB-ALLOWANCE,
,,,9002188.1,ARMS DEPARTMENT,
,,,9002188,FMS DEPARTMENT ACCOUNT,
,,,9002189.1,FMS DOCUMENT HISTORY RECORD,
,,,9002189,FMS REQUEST,
,,,9002190.1,FMS INVOICE TRACKING,
,,,9002190.55,FMS APPROVAL LEVEL,
,,,9002190.5,FMS APPROVAL CONTROL USER,
,,,9002190.6,FMS UNIT OF ISSUE,
,,,9002190.8,ARMS CERTIFICATION STATEMENT,
,,,9002190,FMS REQUEST CONTROLLER,
,,,9002191.1,FMS TRAINING PURPOSE,
,,,9002191.2,FMS TRAINING TYPE,
,,,9002191.3,FMS TRAINING SOURCE CODE,
,,,9002191.4,FMS TRAINING SPECIAL INTEREST CODE,
,,,9002191.52,FMS TRAINING SKILL CATEGORY,
,,,9002191.5,FMS TRAINING SKILL CODE,
,,,9002191.6,FMS TRAINING EVALUATION,
,,,9002191.7,FMS TRAINING PROFESSIONAL ED CAT,
,,,9002191,FMS DISTRIBUTION,
,,,9002192.02,ARMS CONTRACT LOCATION CODE,
,,,9002192.05,ARMS SOURCE CODE,
,,,9002192.06,ARMS TYPE CODE,
,,,9002192.08,ARMS EOQ TABLES,
,,,9002192.1,ARMS STORAGE LOCATION CODES,
,,,9002192.2,FMS TRANSACTION CODE,
,,,9002192,FMS REQUEST TRANSACTION,
,,,9002193.1,ARMS HOTEL,
,,,9002193.2,FMS RECEIVING REPORT,
,,,9002193.41,ARMS FEDSTRIP DOCUMENT IDENTIFIER,
,,,9002193.42,ARMS FEDSTRIP MEDIA-STATUS CODE,
,,,9002193.43,ARMS FEDSTRIP ROUTING IDENTIFIER,
,,,9002193.44,ARMS FEDSTRIP ADVICE CODE,
,,,9002193.4,ARMS FEDSTRIP ACTIVITY CODE,
,,,9002193.5,FMS TRAVEL DAY,
,,,9002193.6,ARMS AIRLINE COMPANY,
,,,9002193.7,FMS AIRLINE INFO,
,,,9002193.8,ARMS AUTO RENTAL COMPANY,
,,,9002193.9,ARMS PER DIEM CITY,
,,,9002193,FMS SUPPLIES AND SERVICES,
,,,9002194.1,FMS PRIME VENDOR CONTRACT,
,,,9002194.2,FMS APPROVALS FOR PAYMENT,
,,,9002194.3,FMS PAYMENT DISCOUNT-PENALTIES,
,,,9002194,FMS TRANSACTION TYPE,
,,,9002195.1,FMS STOCK CATEGORY CODE,
,,,9002195.2,FMS STOCK CATEGORY CODE NAME,
,,,9002195.3,ARMS FEDERAL SUPPLY CLASSES,
,,,9002195.5,ARMS MANUFACTURER,
,,,9002195,ARMS STANDARD ITEM,
,,,9002196.1,FMS EXPORT CONTROL,
,,,9002196.2,ARMS TRAINING PARTICIPANTS,
,,,9002196.521,ARMS PERSONNEL ACTION,
,,,9002196,FMS DOCUMENT,
,,,9002197.1,ARMS CERTIFICATION,
,,,9002197.2,ARMS BOILER PLATE STATEMENT,
,,,9002197.3,ARMS BOILER PLATE,
,,,9002197,FMS DOCUMENT APPROVAL,
,,,9002198.1,ARMS VENDOR DISCOUNT TERMS,
,,,9002198.2,ARMS 1099 VENDOR,
,,,9002198.3,ARMS 1099 PAYER,
,,,9002198.4,ARMS 1099 AMOUNT CODES,
,,,9002198.9,ARMS-SAMS INTERFACE,
,,,9002198,FMS DISTRIBUTION GROUP,
,,,9002199.2,FMS SYSTEM DEFAULTS,
,,,9002199.4,FMS PURCHASING OFFICE,
,,,9002199.5,FMS DEPARTMENT CODES,
,,,9002199,ARMS PURCHASING AGENT,
,,,9003010,ARMS SHIPPIING INSTRUCTIONS,
DIABETIC TRACKING SYSTEM,Diabetic Tracking System,ADB,,,
PACKAGE DOCUMENTATION,Package Documentation,ADC,,,
RPMS DENTAL SYSTEM,IHS Dental System,ADE,9002002.1,DENTAL FLUORIDATION SURVEILLANCE,
,,,9002002.21,ADE GENERIC PARAMETER,
,,,9002002.22,ADE GENERIC PROVIDER,
,,,9002002.23,ADE GENERIC RECORD,
,,,9002002.24,ADE GENERIC ACTIVITY,
,,,9002002.25,ADE GENERIC PURPOSE,
,,,9002002.26,ADE GENERIC RECIPIENT,
,,,9002002.27,ADE GENERIC REFERRAL,
,,,9002002.28,ADE GENERIC SETTING,
,,,9002002.51,DENTAL STERILIZER TEST,
,,,9002002.5,DENTAL STERILIZER,
,,,9002002.6,DENTAL CONTINUING EDUCATION,
,,,9002003.1,DENTAL FOLLOWUP CATEGORY,
,,,9002003.2,DENTAL FOLLOWUP,
,,,9002003.3,DENTAL DEFERRED NEED TYPES,
,,,9002003.4,DENTAL DEFERRED SVCS REGISTER,
,,,9002004,DENTAL WATER SYSTEM,
,,,9002005,DENTAL RESOURCE,
,,,9002006.9,DENTAL REPORT DUMMY,
,,,9002006,DENTAL SITE PARAMETERS,
,,,9002007.91,DENTAL CODE EDIT GROUP,
,,,9002007.9,DENTAL EDIT,
,,,9002007,DENTAL PROCEDURE,
,,,9002009.6,DENTAL PROGRAM OBJECTIVE,
,,,9002009.7,DENTAL OBJECTIVE COUNT,
,,,9002009,DENTAL DATA EXTRACTION LOG,
,,,9002010.01,DENTAL EMPLOYEE,
,,,9002010.03,DENTAL OPERATIVE SITE,
,,,9002010.05,DENTAL RESOURCE TYPE,
,,,9002010.08,DENTAL FEE,
,,,9002010.2,DENTAL PATIENT,
,,,1114008,DENTAL CONSTANT,
RPMS CHANGES TO VA ADT PACKAGE,IHS Changes To ADT,ADG,9009011.5,ADT CENSUS-TREATING SPECIALTY-OLD,
,,,9009011,ADT CENSUS-WARD-OLD,
,,,9009012.5,DS INCOMPLETE CHART,
,,,9009012,DAY SURGERY,
,,,9009013.1,SCHEDULED VISIT-OLD,
,,,9009013.5,CHART DEFICIENCY-OLD,
,,,9009013,INCOMPLETE CHART-OLD,
,,,9009014,CERTIFICATE OF LIVE BIRTH,
,,,9009015,WAITING LIST CLINIC-OLD,
DISTRIBUTION MANAGEMENT,Distribution Management,ADS,,,
IHS ENGINEERING,IHS Engineering,AEN,,,
DATA ENTRY NECOP,Equipment Data Entry,AEQ,,,
COST ACCOUNTING ALS E/W,Cost Accounting Als E W,AEW,,,
RPMS CHANGES TO DIETETICS,IHS Changes To Dietetics,AFH,9002260,GENERAL MENU,
FINANCE (OKLAHOMA),Finance,AFI,,,
LOCAL FACILITY MANAGEMENT,Local Facility Management,AFM,,,
NCR FINANCIAL SYSTEM,NCR Financial System,AFS,,,
3780 TELECOMMUNICATIONS,3780 Telecommunications,AFST,9002325,1166 APPROVALS FOR PAYMENT,
FUNCTIONS,IHS Functions,AFUN,,,
PATIENT REGISTRATION,IHS Patient Registration,AG,9009061.5,AG PATIENT REGISTRATION ERROR CODES,
,,,9009061.6,AG ERROR-WARNING AUDIT,
,,,9009061,REGISTRATION PARAMETERS,
,,,9009062.01,AG ELIGIBILITY UPLOAD TEMPLATE,
,,,9009062.02,AG ELIGIBILITY UPLOAD LOG,
,,,9009062.06,AG INSURANCE TYPE,
,,,9009062.07,AGVQ VERIQUEST PARAMETERS,
,,,9009062.08,AGVQ VERIQUEST PATIENT,
,,,9009063.1,AG MESSAGE TRANSACTIONS,
,,,9009063,AG TX STATUS,
,,,9009064,MEDICAID STATE EDIT,
,,,9009065,REGISTRATION MAILING LIST,
,,,9009066.1,AGEV DATE QUALIFIER TABLE,
,,,9009066.2,AGEV ELIGIBILITY INFORMATION TABLE,
,,,9009066.3,AGEV SERVICE TYPE TABLE,
,,,9009066.4,AGEV INSURANCE TYPE TABLE,
,,,9009066.5,AGEV TIME PERIOD QUALIFIER TABLE,
,,,9009066.6,AGEV QUANTITY QUALIFIER TABLE,
,,,9009066.7,AGEV REQUEST VALIDATION TABLE,
,,,9009066,AGEV INSURANCE ELIGIBILITY HOLDING,
,,,9009068.3,AGG WINDOW DEFINITION,
,,,9009068.5,AGG ERROR CODES,
,,,9009068.6,AGG REPORTS,
PATIENT REGISTRATION GUI,Patient Registration GUI,AGG,,,
PATIENT REGISTRATION MPI,Patient Registration MPI,AGMP,,,
DATA TRANSFER TO DDPS,IBM DDPS Record Consolidation,AIB,9002140,DPS IBM RECORD CONTROL,
,,,9002141,DPS IBM RJE JOB,
ICD LOOKUP,IHS ICD CPT Lookup and Grouper,AICD,,,
INTERACTIVE MEDICAL,Interactive Medical,AIM,,,
INPATIENT DATA ENTRY,Inpatient Data Entry,AIP,,,
DEVELOPER UTILITIES,Developer Utilities,AIU,,,
IHS KERNEL MENU OPTIONS,IHS Kernel Menu Options,AKMO,8007699,AKMO MENU SYNONYMS,
LIST MANAGER,List Manager,ALM,,,
DOWNLOAD PCIS TO RPMS,IHS PCIS Download,ALP,,,
RPMS CHANGES TO VA LAB,IHS Changes To Lab,ALR,9009020.1,IHS ADT PARAMETERS,
,,,9009020.2,IHS SCHEDULING PARAMETERS,
,,,9009021.1,IHS LAB CPT REVIEW CODE,
,,,9009021.2,IHS LAB CPT ACTION CODE,
,,,9009021,IHS LAB CPT CODE,
,,,9009022,IHS LAB TRANSACTION LOG,
,,,9009023,BLR LOCK,
,,,9009026.1,BLR REFERENCE LAB IMPORT-EXPORT LOG,
,,,9009026.2,BLR REFERENCE LAB SHIP MANIFEST,
,,,9009026.3,BLR REFERENCE LAB ORDER-ACCESSION,
,,,9009026,BLR REFERENCE LAB,
,,,9009027.1,BLRA LAB PHYSICIANS,
,,,9009027.2,BLRA LAB PARAMETERS,
,,,9009027,BLRA LAB AUDIT,
,,,9009028.1,IHS LAB V CONVERSION,
,,,9009029,BLR MASTER CONTROL,
IMMUNIZATION TRACKING,Immunization Tracking,AMCH,9002081.1,NEWBORN REGISTER,
,,,9002081.2,VAC ACCOUNTABILITY GROUPS,
,,,9002081.3,QUARTERLY IMM. REPORT CELLS,
,,,9002081.4,QUARTERLY REPORT APPRO. FOR AGE,
,,,9002081,AMCH PARAMETERS,
,,,9002082,DEL FOR IMM. SEARCH GROUPS,
,,,9002083,DEL FOR IMM SEARCH CONTROL,
,,,9002084.01,BI CASE MANAGER,
,,,9002084.02,BI SITE PARAMETER,
,,,9002084.11,BI PATIENT CONTRAINDICATIONS,
,,,9002084.12,BI PATIENT FORECAST ERRORS,
,,,9002084.1,BI PATIENT IMMUNIZATIONS DUE,
,,,9002084.33,BI TABLE ERROR CODE,
,,,9002084.45,BI LETTER SAMPLE,
,,,9002084.4,BI LETTER,
,,,9002084.61,BI USER SELECTIONS,
,,,9002084.62,BI USER DATE-LOC LINE,
,,,9002084.63,BI USER AGE RANGE,
,,,9002084.7,BI PACKAGE INFORMATION,
,,,9002084.81,BI TABLE CONTRA REASON,
,,,9002084.82,BI TABLE ADD INFO ITEMS,
,,,9002084.8,BI TABLE REACTION,
,,,9002084.91,BI TABLE DATA ELEMENT,
,,,9002084.93,BI TABLE VACCINE GROUP SERIES TYPE,
,,,9002084.94,BI IMMUNIZATION TABLE HL7-CVX STANDARD,
,,,9002084.95,BI TABLE NDC CODES,
,,,9002084.97,BI TABLE MANUFACTURERS,
,,,9002084,BI PATIENT,
,,,9002085.1,MCH LETTERS,
,,,9002085,MCH PATIENT,
,,,9002086.01,BW CASE MANAGER,
,,,9002086.02,BW SITE PARAMETER,
,,,9002086.03,BW PAP REGIMEN,
,,,9002086.04,BW PAP REGIMEN LOG,
,,,9002086.05,BW PREGNANCY LOG,
,,,9002086.1,BW PROCEDURE,
,,,9002086.25,BW MAMMOGRAPHY PROJECT RESPONSES,
,,,9002086.26,BW MAMMOGRAPHY EXPORT DEFINITIONS,
,,,9002086.2,BW PROCEDURE TYPE,
,,,9002086.31,BW RESULTS-DIAGNOSIS,
,,,9002086.32,BW DIAGNOSTIC CODE TRANSLATION,
,,,9002086.33,BW ERROR CODE,
,,,9002086.34,BW RACE MAPPINGS NBCCEDP,
,,,9002086.403,BW NOTIFICATION TYPE,
,,,9002086.404,BW NOTIFICATION PURPOSE,
,,,9002086.405,BW NOTIFICATION OUTCOME,
,,,9002086.4,BW NOTIFICATION,
,,,9002086.51,BW BREAST TX NEED,
,,,9002086.5,BW CERVICAL TX NEED,
,,,9002086.6,BW LETTER,
,,,9002086.71,BW SNAPSHOT REPORTS,
,,,9002086.72,BW AGE RANGE DEFAULT,
,,,9002086.81,BW UPLD TABLE TEMP CORNING,
,,,9002086.82,BW UPLD RESULTS TEMP CORNING,
,,,9002086.85,BW UPLD TABLE FINAL CORNING,
,,,9002086.86,BW UPLD UNMATCHED LAB REPORTS,
,,,9002086.87,BW GENERAL RETRIEVAL ITEMS,
,,,9002086.88,BW GENERAL RETRIEVAL TMP,
,,,9002086.91,BW CDC MDE DATA DEFINITION,
,,,9002086.92,BW CDC EXPORT LOG,
,,,9002086.93,BW CDC CBE CATEGORIES,
,,,9002086.94,BW MDE FILTER TYPE,
,,,9002086.95,BW MDE FILTER SET,
,,,9002086.96,BW MDE FORMAT,
,,,9002086,BW PATIENT,
OB TRACKING,OB Tracking,AMCO,,,
PAP SYSTEM,PAP System,AMCP,,,
CHRONIC DISEASE REGISTER,Chronic Disease Register,AMCR,,,
CHILD ABUSE REGISTER,Child Abuse Register,AMCS,,,
EMERGENCY ROOM,Emergency Room,AMER,9080.1,ER AUDIT,
,,,9009080,ER VISIT,
,,,9009080.1,ER AUDIT,
,,,9009081,ER ADMISSION,
,,,9009082.1,ER LOCAL FACILITY,
,,,9009082.2,ER METADICTIONARY,
,,,9009082.3,ER INPUT MAP,
,,,9009082.4,ER OUTPUT MAP,
,,,9009082.5,ER PREFERENCES,
,,,9009082.6,ER EXPORT MAP,
,,,9009082.7,ER HER FILE,
,,,9009082.9,ER CONSULTANT TYPE,
,,,9009082,ER CATEGORIES,
,,,9009083,ER OPTIONS,
,,,9009084,ER INSTRUCTIONS,
MENTAL HEALTH SOCIAL SERVICES,Mental Health Social Services,AMH,9002011.01,MHSS RECORD PROBLEMS POVS,
,,,9002011.02,MHSS RECORD PROVIDERS,
,,,9002011.03,MHSS RECORD TREATED MEDICAL PROBS,
,,,9002011.04,MHSS RECORD PROCEDURES CPT,
,,,9002011.05,MHSS RECORD PATIENT EDUCATION,
,,,9002011.06,BH CD STAGING TOOL,
,,,9002011.07,MHSS INTAKE,
,,,9002011.08,MHSS RECORD HEALTH FACTORS,
,,,9002011.09,MHSS RECORD PREVENTION ACTIVITES,
,,,9002011.11,MHSS RECORD NAVAJO REFERRAL FORM,
,,,9002011.12,MHSS RECORD MEASUREMENTS,
,,,9002011.13,MHSS RECORD INTAKE,
,,,9002011.51,MHSS PATIENT PROBLEM LIST,
,,,9002011.52,MHSS PATIENT PERSONAL HX,
,,,9002011.53,MHSS PATIENT TREATMENT NOTES,
